Feature,Mean_ABS_SHAP
mfcc_mean_2,0.059326903921651776
mfcc_mean_1,0.05096701597778967
mfcc_mean_9,0.0487508339086503
mfcc_std_2,0.046828937802154955
mfcc_mean_3,0.04580036413086729
mfcc_mean_10,0.038229455307020016
chromagram_mean_7,0.034154716016398266
mfcc_mean_8,0.033772955559387245
chromagram_mean_6,0.03259580897760675
mfcc_std_6,0.03231495519026446
mfcc_mean_11,0.03005868876992895
chromagram_std_3,0.02770381270555304
mfcc_mean_5,0.02688243946912932
mfcc_std_9,0.02571613641915219
mfcc_mean_7,0.025590872343913468
chromagram_std_8,0.02294162470800404
chromagram_std_9,0.022348156635598287
mfcc_std_5,0.021628695013134726
mel_spectrogram_mean,0.020389251058949395
chromagram_mean_0,0.018380979670124725
mfcc_mean_6,0.01806954685846708
chromagram_std_11,0.01768446384190929
mfcc_std_10,0.01747563169248654
chromagram_std_7,0.01607530685699976
mfcc_std_3,0.015721209029139215
mfcc_std_8,0.015334246440836809
chromagram_mean_8,0.013842223135741787
chromagram_mean_10,0.013618781810133143
mfcc_std_7,0.013204936279810066
chromagram_std_2,0.012954961225871628
chromagram_mean_4,0.0127279106098718
mfcc_mean_12,0.012662933196489787
chromagram_mean_11,0.012612826697892805
mfcc_std_1,0.012472063081590703
chromagram_mean_5,0.010060997698615959
chromagram_std_10,0.009511265937766893
chromagram_mean_2,0.008275685957308168
chromagram_std_5,0.0074964177797673184
mfcc_mean_4,0.00717733503927329
chromagram_mean_9,0.007131906196612619
chromagram_std_1,0.007068592414952562
chromagram_mean_3,0.006664765918128136
chromagram_std_6,0.006663707672221341
chromagram_std_0,0.0064729827928072916
mfcc_mean_0,0.006318995060011715
mfcc_std_12,0.005696696527643377
mfcc_std_11,0.005541423672178339
chromagram_mean_1,0.005282433617267172
chromagram_std_4,0.004957036467070484
mfcc_std_4,0.004073289326056022
mfcc_std_0,0.0034560018512776835
mel_spectrogram_std,0.0033607970319589732
