mel_spectrogram_mean,mel_spectrogram_std,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_1,mfcc_std_2,mfcc_std_4,mfcc_std_7,mfcc_std_8,mfcc_std_9,chromagram_mean_0,chromagram_mean_1,chromagram_mean_2,chromagram_mean_3,chromagram_mean_4,chromagram_mean_5,chromagram_mean_6,chromagram_mean_7,chromagram_mean_8,chromagram_mean_9,chromagram_mean_10,chromagram_mean_11,chromagram_std_0,chromagram_std_1,chromagram_std_2,chromagram_std_3,chromagram_std_4,chromagram_std_5,chromagram_std_6,chromagram_std_7,chromagram_std_8,chromagram_std_9,chromagram_std_10,chromagram_std_11,label
-20.978594,3.7439995,117.52198791503906,18.24049568176269,14.588593482971191,11.529304504394531,10.143646240234377,7.970760345458984,6.409100532531738,5.913162708282471,4.3628249168396,2.614450693130493,2.9556515216827397,2.649465322494507,1.853190302848816,4.636062145233154,4.122442245483398,3.158924102783203,2.99875545501709,3.223087787628174,2.7935025691986084,0.6956522464752197,0.6399736404418945,0.6750596761703491,0.7498130202293396,0.7592799663543701,0.8001393675804138,0.8056003451347351,0.7680485844612122,0.7486215233802795,0.7325162291526794,0.7324166893959045,0.7903392314910889,0.1417641788721084,0.1354821771383285,0.157083973288536,0.1699579954147339,0.1632564812898636,0.17955182492733,0.1612723618745803,0.1766794472932815,0.1777529120445251,0.1444911211729049,0.1566187590360641,0.144509419798851,Belt and Accessory Issues
-20.13486,3.7248664,116.69538879394533,17.600038528442383,15.24450969696045,12.61081600189209,9.950879096984863,7.177878856658936,6.057714462280273,5.036219120025635,4.634303569793701,3.522234916687012,2.946937322616577,2.480088233947754,1.821460247039795,4.023851871490479,5.016519069671631,3.267230272293091,3.502138376235962,3.038116455078125,2.5119404792785645,0.6012195944786072,0.6238411664962769,0.689582884311676,0.9003742337226868,0.8720401525497437,0.7399961948394775,0.6636340618133545,0.6750399470329285,0.6820515394210815,0.6850271821022034,0.6991296410560608,0.712249755859375,0.1252529919147491,0.1405278593301773,0.1344583928585052,0.1880285888910293,0.1696981340646743,0.1346599757671356,0.1294974386692047,0.1336859911680221,0.1493672132492065,0.1616659462451934,0.1275526285171508,0.1560978591442108,Belt and Accessory Issues
-21.31129,3.745864,116.0792007446289,18.07965087890625,15.470148086547852,12.563953399658203,9.630029678344728,6.804934024810791,6.543083190917969,4.969239234924316,3.8553645610809326,2.8579113483428955,2.0555779933929443,2.9101204872131348,2.1125237941741943,3.6527774333953857,3.130948543548584,3.2792627811431885,3.002771615982056,2.9391770362854004,2.97029447555542,0.6427710056304932,0.5938785076141357,0.6490364074707031,0.7855067253112793,0.8381747603416443,0.8522710800170898,0.8096215724945068,0.7605434656143188,0.7515639066696167,0.7669470310211182,0.7549876570701599,0.7481603026390076,0.1326726377010345,0.1316208392381668,0.1056757643818855,0.1346527487039566,0.1481764167547226,0.1376879811286926,0.1204396411776542,0.1353395581245422,0.1358727514743805,0.1308986544609069,0.128168374300003,0.1388925015926361,Belt and Accessory Issues
-20.972757,3.7708178,116.6230926513672,17.60764503479004,15.325167655944824,12.093032836914062,9.940836906433104,6.550499439239502,5.931180477142334,6.415434837341309,5.49352502822876,3.3815698623657227,3.00594162940979,2.9678735733032227,2.2056479454040527,4.460477352142334,3.9137721061706543,3.0097427368164062,3.390981674194336,2.742583990097046,3.1740260124206543,0.5668100118637085,0.6369390487670898,0.7652051448822021,0.8781189918518066,0.7618410587310791,0.6957542300224304,0.6535971164703369,0.6978397965431213,0.6989195942878723,0.6984156966209412,0.742483913898468,0.6942460536956787,0.1093680113554,0.1528531461954116,0.1737127006053924,0.2061362564563751,0.1649507582187652,0.1623177677392959,0.1464903354644775,0.1533033102750778,0.1635254323482513,0.16020068526268,0.1293872445821762,0.1485103666782379,Belt and Accessory Issues
-11.169891,2.5687497,128.0842742919922,5.690825939178467,-0.1121544763445854,2.209007024765014,-1.4063957929611206,0.8529619574546814,0.6882558465003967,-1.6133451461791992,1.5296454429626465,2.902949333190918,0.0150051293894648,1.0896085500717163,-1.1464154720306396,4.922152996063232,3.821958303451538,2.911284685134888,2.7968971729278564,2.965128183364868,2.2115120887756348,0.65874844789505,0.6630958318710327,0.7540774345397949,0.8505147695541382,0.8335632085800171,0.884617269039154,0.8476158976554871,0.8445709943771362,0.8393481373786926,0.8793392777442932,0.8330720067024231,0.7500245571136475,0.1061153709888458,0.0961040705442428,0.1121498569846153,0.1231340765953064,0.1027546226978302,0.0952381715178489,0.1078243553638458,0.0957282483577728,0.0964822173118591,0.0995604246854782,0.0955547466874122,0.0951414555311203,Belt and Accessory Issues
-11.517922,2.5744183,128.72189331054688,5.06205940246582,-0.5876860618591309,2.827585458755493,-1.66514253616333,0.7319530248641968,1.3554822206497192,-0.3207149803638458,2.814897298812866,2.8769593238830566,-0.3031189739704132,2.3037705421447754,0.0922605991363525,2.9454152584075928,2.864556312561035,2.941349983215332,3.278486728668213,2.619346618652344,3.288039207458496,0.6752339601516724,0.6244373917579651,0.696780264377594,0.736129641532898,0.7653228640556335,0.7911993861198425,0.806524395942688,0.8664565086364746,0.8705323338508606,0.8633083701133728,0.8697464466094971,0.8087056279182434,0.1192520335316658,0.104421354830265,0.1147252172231674,0.1300535202026367,0.1214841902256012,0.1064117103815078,0.1033450588583946,0.1064406558871269,0.0835050418972969,0.1074760556221008,0.1137931421399116,0.1110932976007461,Belt and Accessory Issues
-10.076738,2.5251958,127.15550994873048,3.201047420501709,0.0425819307565689,3.13152289390564,-2.768274307250977,1.5176544189453125,1.8086472749710083,-1.5708824396133425,1.9147865772247317,3.3607895374298096,0.7843916416168213,2.213245153427124,-0.9126174449920654,4.068506240844727,2.4793124198913574,2.810004711151123,3.1362154483795166,3.0615062713623047,2.698124647140503,0.6591046452522278,0.6448615193367004,0.6981655955314636,0.7810232639312744,0.7643464803695679,0.8667792677879333,0.8043370842933655,0.9166092872619628,0.8365744352340698,0.8064983487129211,0.8144643306732178,0.7483937740325928,0.1159084662795066,0.1000350043177604,0.145509123802185,0.1303288638591766,0.1150384619832038,0.117024540901184,0.1087759658694267,0.0884818881750106,0.0917621850967407,0.1104097589850425,0.1096029579639434,0.0964969843626022,Belt and Accessory Issues
-13.472585,2.6529658,128.39404296875,6.936178207397461,0.9453173279762268,2.4637253284454346,-0.1355224996805191,3.200660228729248,1.4758756160736084,-1.8446184396743772,0.815771758556366,2.689571619033813,-0.5221455097198486,-1.128476619720459,-1.5730210542678833,5.664705753326416,4.657405853271484,3.217172861099243,3.2815871238708496,2.453838348388672,2.7211833000183105,0.6878911852836609,0.7031991481781006,0.7056770920753479,0.7181808352470398,0.7936493754386902,0.9032747149467468,0.8601568937301636,0.8886160254478455,0.8279485702514648,0.7916209101676941,0.774774432182312,0.7380414009094238,0.129485547542572,0.1095575466752052,0.1060489639639854,0.1050381362438201,0.1308695524930954,0.127882108092308,0.0953633189201355,0.0974209681153297,0.0990263074636459,0.1215854734182357,0.1275889873504638,0.1169501468539238,Belt and Accessory Issues
-9.6320715,2.554172,121.65721130371094,-3.73270845413208,-3.031663656234741,-5.814850330352783,0.2256156802177429,-1.7813371419906616,-1.760211944580078,1.9232121706008911,-1.243395447731018,2.6154017448425293,-1.6705845594406128,1.2230132818222046,-0.79389488697052,3.868128299713135,4.279903888702393,2.9665415287017822,3.0044002532958984,3.208320617675781,3.4002878665924072,0.6276159882545471,0.6486817598342896,0.6733778715133667,0.7441047430038452,0.7705802917480469,0.8180257081985474,0.8782479763031006,0.831247091293335,0.7899837493896484,0.7771174311637878,0.7648229002952576,0.6519802212715149,0.1418083161115646,0.1292167901992797,0.1329147815704345,0.1613647639751434,0.1510013043880462,0.1230620443820953,0.1295569986104965,0.1235242560505867,0.1457358747720718,0.1415615975856781,0.1211136579513549,0.1171971336007118,Belt and Accessory Issues
-10.571763,2.5595202,125.28787231445312,0.0382028520107269,-5.393696308135986,-5.224009990692139,-0.1781623512506485,-1.3699439764022827,-3.523218870162964,2.3669896125793457,-0.7727373242378235,1.043738603591919,-0.9044364094734192,1.2350645065307615,0.0839679837226867,3.687788248062134,4.509659767150879,2.7656075954437256,2.464144229888916,2.9671616554260254,2.846895217895508,0.6855729222297668,0.5900071263313293,0.6273671984672546,0.7232382297515869,0.7783187031745911,0.7465317249298096,0.7493741512298584,0.7228317260742188,0.7313422560691833,0.775019109249115,0.8424466252326965,0.9246737360954284,0.1055784150958061,0.1236981153488159,0.1124531850218772,0.1455092877149582,0.1427727937698364,0.1262783259153366,0.1440689861774444,0.1173161938786506,0.1167027428746223,0.1275020241737365,0.0993718057870864,0.1103006228804588,Belt and Accessory Issues
