file_name,label,zcr_mean,zcr_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_contrast_mean_0,spectral_contrast_mean_1,spectral_contrast_mean_2,spectral_contrast_mean_3,spectral_contrast_mean_4,spectral_contrast_mean_5,spectral_contrast_mean_6,spectral_contrast_std_0,spectral_contrast_std_1,spectral_contrast_std_2,spectral_contrast_std_3,spectral_contrast_std_4,spectral_contrast_std_5,spectral_contrast_std_6,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_delta_mean_0,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_std_0,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,mfcc_delta2_mean_0,mfcc_delta2_mean_1,mfcc_delta2_mean_2,mfcc_delta2_mean_3,mfcc_delta2_mean_4,mfcc_delta2_mean_5,mfcc_delta2_mean_6,mfcc_delta2_mean_7,mfcc_delta2_mean_8,mfcc_delta2_mean_9,mfcc_delta2_mean_10,mfcc_delta2_mean_11,mfcc_delta2_mean_12,mfcc_delta2_std_0,mfcc_delta2_std_1,mfcc_delta2_std_2,mfcc_delta2_std_3,mfcc_delta2_std_4,mfcc_delta2_std_5,mfcc_delta2_std_6,mfcc_delta2_std_7,mfcc_delta2_std_8,mfcc_delta2_std_9,mfcc_delta2_std_10,mfcc_delta2_std_11,mfcc_delta2_std_12
engine chriping -squealing belt_segment_0.wav,Belt and Accessory Issues,0.3763103243670886,0.03503461690926833,0.3793243,0.019804914,3597.538203513023,77.99776245752552,2463.536276741265,28.96481217366487,6652.788765822785,63.22203134672718,16.000369376599952,11.315601549256478,13.152147868982574,13.124562633962768,13.952595163794527,13.700898627511389,13.401336792757366,4.563139147403967,2.55469364710473,3.2107433463048483,2.0858859815895223,1.7285802672646509,0.9875523476508059,1.1938531513821322,0.6956522464752197,0.6399736404418945,0.6750596761703491,0.7498130202293396,0.7592799663543701,0.8001393675804138,0.8056003451347351,0.7680485844612122,0.7486215233802795,0.7325162291526794,0.7324166893959045,0.7903392314910889,0.14176417887210846,0.13548217713832855,0.15708397328853607,0.1699579954147339,0.1632564812898636,0.17955182492733002,0.16127236187458038,0.17667944729328156,0.17775291204452515,0.14449112117290497,0.15661875903606415,0.144509419798851,117.52198791503906,18.240495681762695,14.588593482971191,11.529304504394531,10.143646240234375,7.970760345458984,6.409100532531738,5.913162708282471,4.3628249168396,2.614450693130493,2.9556515216827393,2.649465322494507,1.853190302848816,6.356425762176514,4.636062145233154,4.122442245483398,2.569164991378784,3.158924102783203,2.477346181869507,3.1951098442077637,2.99875545501709,3.223087787628174,2.7935025691986084,3.0936293601989746,2.9644718170166016,2.5526833534240723,-0.058860719203948975,-0.024303041398525238,0.01461061928421259,0.02990688569843769,-0.03294574096798897,0.03202294930815697,0.08927151560783386,-0.009171814657747746,0.017728794366121292,0.06510670483112335,0.05154477059841156,0.07883404195308685,0.06982504576444626,1.004469633102417,0.9747259020805359,0.908622145652771,0.4366021752357483,0.6518573760986328,0.40941673517227173,0.5004391074180603,0.5333048701286316,0.510797381401062,0.4887831211090088,0.6023052930831909,0.5798540115356445,0.5426324605941772,-0.2757539749145508,0.11370212584733963,0.08653301000595093,-0.005267668515443802,0.011076082475483418,0.01177975069731474,-0.00021296588238328695,0.02260659635066986,0.08079856634140015,0.049757491797208786,-0.06311729550361633,-0.09833291172981262,8.072525088209659e-05,0.8829548358917236,0.6372549533843994,0.5661942362785339,0.3553430438041687,0.5196796655654907,0.39193230867385864,0.41872289776802063,0.4035065770149231,0.37865322828292847,0.39086106419563293,0.45750337839126587,0.37524113059043884,0.35325825214385986
engine chriping -squealing belt_segment_1.wav,Belt and Accessory Issues,0.38322043117088606,0.03627256439438788,0.37632027,0.01878166,3624.5338600239174,72.5326573375678,2456.5746585043044,38.126488699058825,6666.534810126583,88.08665773458557,16.292225760588,11.817381865872528,13.653972063493754,13.265591355557374,13.618206246990987,13.44427271956837,13.609356190096452,3.6057223257812874,2.622748990716466,3.3488325805717207,2.0499451272032974,1.656003074947465,1.0355131621912959,1.5669680103135168,0.6012195944786072,0.6238411664962769,0.689582884311676,0.9003742337226868,0.8720401525497437,0.7399961948394775,0.6636340618133545,0.6750399470329285,0.6820515394210815,0.6850271821022034,0.6991296410560608,0.712249755859375,0.12525299191474915,0.1405278593301773,0.13445839285850525,0.18802858889102936,0.16969813406467438,0.13465997576713562,0.1294974386692047,0.13368599116802216,0.14936721324920654,0.16166594624519348,0.12755262851715088,0.15609785914421082,116.69538879394531,17.600038528442383,15.24450969696045,12.61081600189209,9.950879096984863,7.1778788566589355,6.057714462280273,5.036219120025635,4.634303569793701,3.5222349166870117,2.946937322616577,2.480088233947754,1.821460247039795,6.6233978271484375,4.0238518714904785,5.016519069671631,2.966520309448242,3.267230272293091,3.4910480976104736,3.2675368785858154,3.502138376235962,3.038116455078125,2.5119404792785645,2.304497480392456,2.8927276134490967,2.4448554515838623,0.05065419524908066,0.10742905735969543,0.13000214099884033,0.1115935817360878,-0.0019605269189924,-0.007671439088881016,-0.038029495626688004,-0.07515538483858109,-0.03706559166312218,0.0662519782781601,0.03989933058619499,0.031450603157281876,0.06181185692548752,0.9033042192459106,0.8991160988807678,0.960080623626709,0.468284547328949,0.4752982258796692,0.6620732545852661,0.6147893667221069,0.7441843748092651,0.5586654543876648,0.3856642246246338,0.31071117520332336,0.5299500823020935,0.43655434250831604,-0.23046687245368958,0.018649360164999962,-0.03143579885363579,-0.0047366805374622345,0.025239383801817894,0.03618258610367775,0.024951733648777008,-0.011116634123027325,-0.047877922654151917,-0.005521188955754042,-0.024244293570518494,-0.030763568356633186,0.001846795086748898,0.7798328995704651,0.5161927938461304,0.6064862608909607,0.2535538673400879,0.4250774681568146,0.5048485398292542,0.4246891140937805,0.46009600162506104,0.4520757496356964,0.3744007349014282,0.2543124258518219,0.334866464138031,0.3052855432033539
engine chriping -squealing belt_segment_2.wav,Belt and Accessory Issues,0.3787949960443038,0.03402711885083498,0.37628415,0.019090867,3608.770520997613,76.01052958806942,2462.7640786042216,24.12145075629769,6657.43670886076,92.9811614780183,16.456939510390185,11.68264353343015,13.356901821079733,13.251835909809094,13.27776822045892,13.552893391233665,13.556076876496574,3.6791953748822173,2.7031454888831434,2.776770280494443,1.915351343917893,1.410406379862328,0.9773674674559343,1.4075731382674224,0.6427710056304932,0.5938785076141357,0.6490364074707031,0.7855067253112793,0.8381747603416443,0.8522710800170898,0.8096215724945068,0.7605434656143188,0.7515639066696167,0.7669470310211182,0.7549876570701599,0.7481603026390076,0.13267263770103455,0.1316208392381668,0.10567576438188553,0.1346527487039566,0.1481764167547226,0.13768798112869263,0.12043964117765427,0.13533955812454224,0.1358727514743805,0.13089865446090698,0.12816837430000305,0.1388925015926361,116.0792007446289,18.07965087890625,15.470148086547852,12.563953399658203,9.630029678344727,6.804934024810791,6.543083190917969,4.969239234924316,3.8553645610809326,2.8579113483428955,2.0555779933929443,2.9101204872131348,2.1125237941741943,6.114806175231934,3.6527774333953857,3.130948543548584,2.362699031829834,3.2792627811431885,2.897897243499756,2.713892936706543,3.0027716159820557,2.9391770362854004,2.97029447555542,2.7473011016845703,3.0850253105163574,2.7524752616882324,-0.11191122978925705,-0.07668649405241013,-0.0253283828496933,0.00862314272671938,0.10303238779306412,0.05183987691998482,0.03217654302716255,-0.040153324604034424,-0.03439456596970558,-0.001337680616416037,0.07477588206529617,-0.01738857850432396,-0.04821903631091118,0.8396442532539368,0.7282288074493408,0.6390109062194824,0.2750096619129181,0.5600219368934631,0.5505905747413635,0.5209318399429321,0.5230116248130798,0.5350005030632019,0.505233883857727,0.5990095138549805,0.5109349489212036,0.4079500436782837,-0.2492707222700119,-0.002914497395977378,-0.0103175463154912,0.0032643075101077557,-0.028391418978571892,-0.03568996861577034,-0.04670695587992668,-0.033225782215595245,0.04872998222708702,0.015918027609586716,-0.022091295570135117,-0.03858250752091408,0.022090887650847435,0.73744136095047,0.42721495032310486,0.4117031395435333,0.27665430307388306,0.4570804238319397,0.38710829615592957,0.33400142192840576,0.4559340178966522,0.399628609418869,0.4720696806907654,0.37813806533813477,0.4556728005409241,0.32796669006347656
engine chriping -squealing belt_segment_3.wav,Belt and Accessory Issues,0.38057505933544306,0.03696625867525775,0.37810078,0.018498482,3621.161873899735,70.60011081486425,2463.1037343772005,32.51408133936821,6665.842563291139,70.85376851748188,15.984112065485872,11.716326897868816,12.88612526580685,13.295775605159438,13.743688131983191,13.558495416331793,13.517761437352437,3.3821500502335655,2.363977849772747,2.7895878000177508,1.6052003962460828,1.4310330093612482,0.8534485625174301,1.3714576061948844,0.5668100118637085,0.6369390487670898,0.7652051448822021,0.8781189918518066,0.7618410587310791,0.6957542300224304,0.6535971164703369,0.6978397965431213,0.6989195942878723,0.6984156966209412,0.742483913898468,0.6942460536956787,0.10936801135540009,0.15285314619541168,0.17371270060539246,0.20613625645637512,0.16495075821876526,0.16231776773929596,0.14649033546447754,0.15330331027507782,0.16352543234825134,0.16020068526268005,0.1293872445821762,0.14851036667823792,116.62309265136719,17.60764503479004,15.325167655944824,12.093032836914062,9.940836906433105,6.550499439239502,5.931180477142334,6.415434837341309,5.49352502822876,3.3815698623657227,3.00594162940979,2.9678735733032227,2.2056479454040527,6.905778884887695,4.460477352142334,3.9137721061706543,3.172800064086914,3.0097427368164062,3.392522096633911,4.076458930969238,3.390981674194336,2.742583990097046,3.1740260124206543,3.076491594314575,2.559413194656372,2.1082346439361572,0.01980327069759369,-0.06892412900924683,0.0013068522093817592,0.023786870762705803,-0.012371271848678589,-0.015820086002349854,-0.1368855983018875,-0.04315769299864769,0.05763622000813484,-0.09627687186002731,-0.16286024451255798,-0.025247490033507347,0.030009616166353226,1.1466892957687378,0.9558402299880981,0.6369426250457764,0.5838363170623779,0.523463785648346,0.5827209949493408,0.7039054036140442,0.6157556176185608,0.5025521516799927,0.6033986210823059,0.5976373553276062,0.43448325991630554,0.327705442905426,-0.1628120243549347,0.07010229676961899,0.0096239959821105,-0.022646484896540642,0.012726664543151855,-0.013555636629462242,-0.03694545477628708,-0.02334601804614067,-0.054157424718141556,-0.03024974651634693,-0.00047405611258000135,-0.00037666523712687194,-0.003284107195213437,0.575718104839325,0.5445706844329834,0.5197697281837463,0.3865704834461212,0.4035203456878662,0.3915587067604065,0.4932272732257843,0.4714396893978119,0.40327736735343933,0.4043772220611572,0.3665387034416199,0.30407118797302246,0.24526360630989075
lifter ticking_segment_0.wav,Belt and Accessory Issues,0.45283450356012656,0.040357950674309744,0.376055,0.018469524,3783.363063854708,63.42426171843849,2320.0422286416274,38.68807472566696,6634.592563291139,64.00180156307148,11.966916313268442,11.095586165844251,13.617048303323182,13.417531266633892,13.555442579301975,13.482858215718608,13.47486949974638,2.997412686996912,2.7832626000556666,2.8949466973720344,2.0589540509088367,1.3274410462827853,0.957828166797067,1.483601086419945,0.65874844789505,0.6630958318710327,0.7540774345397949,0.8505147695541382,0.8335632085800171,0.884617269039154,0.8476158976554871,0.8445709943771362,0.8393481373786926,0.8793392777442932,0.8330720067024231,0.7500245571136475,0.10611537098884583,0.09610407054424286,0.11214985698461533,0.1231340765953064,0.1027546226978302,0.09523817151784897,0.10782435536384583,0.09572824835777283,0.09648221731185913,0.09956042468547821,0.09555474668741226,0.0951414555311203,128.0842742919922,5.690825939178467,-0.11215447634458542,2.2090070247650146,-1.4063957929611206,0.8529619574546814,0.6882558465003967,-1.6133451461791992,1.5296454429626465,2.902949333190918,0.015005129389464855,1.0896085500717163,-1.1464154720306396,5.628740310668945,4.922152996063232,3.821958303451538,3.021292209625244,2.9112846851348877,3.1097826957702637,3.4216067790985107,2.7968971729278564,2.965128183364868,2.2115120887756348,2.474336862564087,2.5935680866241455,3.018225908279419,0.03834036365151405,-0.07426034659147263,-0.06360659003257751,-0.02414640411734581,-0.014973679557442665,-0.025820080190896988,-0.09819618612527847,-0.10833969712257385,-0.027106646448373795,0.06183309108018875,0.03806140646338463,-0.025816036388278008,0.032272983342409134,0.8975997567176819,0.55531907081604,0.4925077259540558,0.37431836128234863,0.3785204291343689,0.3492262065410614,0.4392499327659607,0.4289530813694,0.5784358978271484,0.415918231010437,0.4191525876522064,0.5046360492706299,0.4817427694797516,-0.24019627273082733,0.011788837611675262,0.014319540932774544,-0.022311130538582802,-0.014665698632597923,-0.020500902086496353,0.07012281566858292,0.05768110603094101,-0.005409496370702982,-0.02492145635187626,-0.005849515553563833,0.04426746442914009,0.036986611783504486,0.6817911863327026,0.3662209212779999,0.3741244077682495,0.4178621172904968,0.2672344744205475,0.2749844789505005,0.37147581577301025,0.3476351797580719,0.4271751940250397,0.25190818309783936,0.36078399419784546,0.40803879499435425,0.3998689651489258
lifter ticking_segment_1.wav,Belt and Accessory Issues,0.45178995253164556,0.03931837342986437,0.37881035,0.019594345,3777.9812604112776,46.08132863636556,2309.304507738165,28.5441953013389,6619.264240506329,69.68568244874423,12.277153604666905,11.349857353894246,13.298138431728514,13.647439165465844,13.444093641290735,13.741988729820596,13.560454720456043,3.2848438296066367,2.9920503159447067,2.8757540260609433,2.016581364683491,1.3564966073136162,0.9341713831319205,1.3707614502483347,0.6752339601516724,0.6244373917579651,0.696780264377594,0.736129641532898,0.7653228640556335,0.7911993861198425,0.806524395942688,0.8664565086364746,0.8705323338508606,0.8633083701133728,0.8697464466094971,0.8087056279182434,0.1192520335316658,0.10442135483026505,0.11472521722316742,0.13005352020263672,0.1214841902256012,0.10641171038150787,0.10334505885839462,0.10644065588712692,0.0835050418972969,0.10747605562210083,0.11379314213991165,0.11109329760074615,128.72189331054688,5.06205940246582,-0.5876860618591309,2.827585458755493,-1.66514253616333,0.7319530248641968,1.3554822206497192,-0.3207149803638458,2.814897298812866,2.8769593238830566,-0.3031189739704132,2.3037705421447754,0.09226059913635254,5.723516464233398,2.9454152584075928,2.864556312561035,2.3754220008850098,2.941349983215332,2.5127906799316406,3.7812340259552,3.278486728668213,2.6193466186523438,3.288039207458496,2.2042288780212402,2.6559581756591797,3.40248966217041,0.06897091120481491,0.08644624054431915,0.002809850499033928,-0.030754927545785904,-0.06431608647108078,0.05086112767457962,0.11234182119369507,0.059323497116565704,-0.015943681821227074,-0.08006062358617783,-0.03252755478024483,-0.00820453092455864,-0.07286349684000015,0.9669791460037231,0.4867519736289978,0.49811267852783203,0.34989017248153687,0.5869759917259216,0.407951295375824,0.5581427216529846,0.5794445872306824,0.38431161642074585,0.5243301391601562,0.3834224045276642,0.3934529423713684,0.4899905323982239,-0.25146031379699707,-0.020454231649637222,-0.0029791411943733692,0.014228739775717258,-0.007973359897732735,-0.016780875623226166,0.020425768569111824,0.013778258115053177,0.0021122407633811235,0.04124215617775917,0.022205503657460213,-0.016089733690023422,-0.03445206582546234,0.7121917009353638,0.29011452198028564,0.3872755169868469,0.2810172140598297,0.35084277391433716,0.2952611744403839,0.4490703046321869,0.46929508447647095,0.3108522891998291,0.4843740463256836,0.2532181441783905,0.34094250202178955,0.39673110842704773
lifter ticking_segment_2.wav,Belt and Accessory Issues,0.45611649525316456,0.04283603534060107,0.3776643,0.017744083,3812.832712994481,62.72792828275907,2297.399689217688,30.79247508113318,6624.40664556962,60.84350700836459,11.581858959647189,11.234300899889487,13.762333390109006,13.070169255687132,14.098419575639976,13.777456778383874,13.549854979932713,3.183435670994491,2.419660849614868,3.327221919805334,2.019083038607159,1.3985670927441514,0.8639146980537785,1.4903735921705972,0.6591046452522278,0.6448615193367004,0.6981655955314636,0.7810232639312744,0.7643464803695679,0.8667792677879333,0.8043370842933655,0.9166092872619629,0.8365744352340698,0.8064983487129211,0.8144643306732178,0.7483937740325928,0.11590846627950668,0.10003500431776047,0.14550912380218506,0.13032886385917664,0.11503846198320389,0.11702454090118408,0.10877596586942673,0.08848188817501068,0.09176218509674072,0.11040975898504257,0.10960295796394348,0.09649698436260223,127.15550994873047,3.201047420501709,0.04258193075656891,3.1315228939056396,-2.7682743072509766,1.5176544189453125,1.8086472749710083,-1.5708824396133423,1.9147865772247314,3.3607895374298096,0.7843916416168213,2.213245153427124,-0.9126174449920654,5.591804504394531,4.068506240844727,2.4793124198913574,2.7838709354400635,2.810004711151123,2.9557600021362305,2.963290214538574,3.1362154483795166,3.0615062713623047,2.698124647140503,3.494810104370117,2.7142751216888428,2.9649038314819336,-0.055583406239748,-0.10317277163267136,-0.006061899475753307,0.07075028866529465,0.04791858792304993,-0.015429910272359848,-0.029290208593010902,-0.0012310969177633524,-0.06086353212594986,0.006918416824191809,0.04153835400938988,0.059684645384550095,0.035761378705501556,0.7356549501419067,0.48509877920150757,0.382788747549057,0.508194625377655,0.4203484356403351,0.5005137920379639,0.39500534534454346,0.4853343069553375,0.5173407196998596,0.44307589530944824,0.5581154227256775,0.42074400186538696,0.4913584887981415,-0.22779418528079987,-0.008272599428892136,-0.0580921545624733,-0.008944423869252205,0.04768120497465134,0.0313945896923542,0.07504408061504364,0.05205024033784866,0.01155804842710495,-0.0461219884455204,-0.03047463856637478,-0.019596828147768974,-0.04817642271518707,0.6926259994506836,0.321608304977417,0.35258811712265015,0.3045547902584076,0.32138198614120483,0.400627076625824,0.3681567311286926,0.37506985664367676,0.37485066056251526,0.3818073272705078,0.44713294506073,0.3587685227394104,0.3808711767196655
lifter ticking_segment_3.wav,Belt and Accessory Issues,0.44687005537974683,0.04164397900451154,0.3775312,0.01914998,3766.3479531044327,68.16054570272863,2325.20576898868,49.418956906084816,6626.5822784810125,80.78329234943853,12.419860526120493,10.898763805485745,13.002483663276461,13.818388966962008,13.898453142298523,13.835282740414995,13.714695586819868,3.5177009622110447,2.479188031569544,2.607018184569129,2.0833854604043984,1.339886940944856,1.0812599404147192,1.4518153660239066,0.6878911852836609,0.7031991481781006,0.7056770920753479,0.7181808352470398,0.7936493754386902,0.9032747149467468,0.8601568937301636,0.8886160254478455,0.8279485702514648,0.7916209101676941,0.774774432182312,0.7380414009094238,0.12948554754257202,0.10955754667520523,0.10604896396398544,0.10503813624382019,0.1308695524930954,0.12788210809230804,0.0953633189201355,0.09742096811532974,0.09902630746364594,0.12158547341823578,0.12758898735046387,0.1169501468539238,128.39404296875,6.936178207397461,0.9453173279762268,2.4637253284454346,-0.1355224996805191,3.200660228729248,1.4758756160736084,-1.8446184396743774,0.815771758556366,2.6895716190338135,-0.5221455097198486,-1.128476619720459,-1.5730210542678833,6.3128204345703125,5.664705753326416,4.657405853271484,3.0408518314361572,3.217172861099243,3.2415449619293213,3.683720588684082,3.2815871238708496,2.453838348388672,2.7211833000183105,2.831498384475708,2.5315120220184326,3.5683374404907227,0.12857912480831146,0.0667952448129654,-0.002461817115545273,-0.04153880104422569,-0.0023337029851973057,0.04910554736852646,-0.057838235050439835,-0.12543916702270508,0.021452749148011208,0.03150644525885582,-0.06248773634433746,-0.09311595559120178,-0.05196208506822586,0.9429429769515991,0.6839625239372253,0.7353863716125488,0.5523093938827515,0.5902261137962341,0.4398806691169739,0.7674540877342224,0.5378520488739014,0.36878421902656555,0.404560923576355,0.4410954713821411,0.5293833017349243,0.6398574113845825,-0.2469080239534378,0.09254737198352814,0.0887320265173912,0.009198911488056183,-0.029184482991695404,-0.025930015370249748,-0.022717097774147987,-0.02499493397772312,0.03032112680375576,0.0051320018246769905,0.024521904066205025,-0.02157815732061863,-0.05558627098798752,0.7625107765197754,0.529359757900238,0.4297671318054199,0.37341511249542236,0.41453880071640015,0.3592558205127716,0.5411936044692993,0.40856245160102844,0.3935064971446991,0.29527992010116577,0.34338364005088806,0.3475722670555115,0.5193163156509399
squeaky belt_segment_0.wav,Belt and Accessory Issues,0.49378214003164556,0.048353152989158835,0.37652242,0.018031662,4011.310452574438,110.82659477038155,2300.1918521970038,28.0224060716868,6710.047468354431,86.47958472087983,10.619480482930788,11.02772647313572,13.411157150218365,13.155888355643194,13.727227536803708,14.318005974453316,13.635591263899187,2.666107801639089,2.643527508731024,2.7655096558913805,1.8613661670456387,1.4268443436996814,1.0825577290296262,1.2725733923448073,0.6276159882545471,0.6486817598342896,0.6733778715133667,0.7441047430038452,0.7705802917480469,0.8180257081985474,0.8782479763031006,0.831247091293335,0.7899837493896484,0.7771174311637878,0.7648229002952576,0.6519802212715149,0.14180831611156464,0.12921679019927979,0.13291478157043457,0.16136476397514343,0.15100130438804626,0.12306204438209534,0.12955699861049652,0.1235242560505867,0.14573587477207184,0.1415615975856781,0.12111365795135498,0.11719713360071182,121.65721130371094,-3.73270845413208,-3.031663656234741,-5.814850330352783,0.22561568021774292,-1.7813371419906616,-1.7602119445800781,1.9232121706008911,-1.243395447731018,2.6154017448425293,-1.6705845594406128,1.2230132818222046,-0.79389488697052,6.582745552062988,3.8681282997131348,4.279903888702393,3.5666632652282715,2.9665415287017822,3.3194127082824707,3.9868838787078857,3.0044002532958984,3.2083206176757812,3.4002878665924072,3.2633159160614014,2.9796526432037354,2.959907054901123,0.03364234045147896,0.00670338049530983,0.12087105214595795,-0.17288686335086823,-0.11861296743154526,0.09597483277320862,-0.010246803984045982,0.01605633646249771,0.03474803641438484,0.10324984043836594,-0.03896607458591461,0.013898215256631374,0.003204320091754198,0.9668951034545898,0.482902467250824,0.4946800470352173,0.5715640783309937,0.4388270080089569,0.634718120098114,0.7693679332733154,0.49587151408195496,0.5485859513282776,0.613185465335846,0.48156729340553284,0.46896204352378845,0.4781976342201233,-0.2777074873447418,-0.06521842628717422,-0.04027809947729111,-0.08040525019168854,0.02266238071024418,-0.0010702606523409486,-0.030881064012646675,-0.022180931642651558,0.0015992311527952552,-0.019832830876111984,-0.03510887548327446,0.005922725889831781,-0.016247369349002838,0.8456636667251587,0.4238821566104889,0.37539562582969666,0.48690930008888245,0.30280643701553345,0.5055904984474182,0.5614871978759766,0.33229565620422363,0.4172005355358124,0.4469187557697296,0.47366446256637573,0.36189401149749756,0.32698363065719604
squeaky belt_segment_1.wav,Belt and Accessory Issues,0.47175385680379744,0.04400735724011934,0.37758148,0.019337041,3888.305861143533,95.97915822535177,2302.4218370091976,29.556401540837815,6668.018196202532,60.39873373161387,11.522893190791919,10.948356089366362,12.969778485850746,13.630088220553429,14.489018901040842,13.792163848788547,13.846181229060814,3.268597081932147,2.9081875573974876,2.7939645151255457,2.24012689624385,1.6270134342631835,0.961018291580551,1.3679918425235191,0.6855729222297668,0.5900071263313293,0.6273671984672546,0.7232382297515869,0.7783187031745911,0.7465317249298096,0.7493741512298584,0.7228317260742188,0.7313422560691833,0.775019109249115,0.8424466252326965,0.9246737360954285,0.10557841509580612,0.12369811534881592,0.11245318502187729,0.1455092877149582,0.14277279376983643,0.1262783259153366,0.14406898617744446,0.11731619387865067,0.11670274287462234,0.12750202417373657,0.09937180578708649,0.11030062288045883,125.28787231445312,0.03820285201072693,-5.393696308135986,-5.224009990692139,-0.1781623512506485,-1.3699439764022827,-3.523218870162964,2.3669896125793457,-0.7727373242378235,1.043738603591919,-0.9044364094734192,1.2350645065307617,0.08396798372268677,6.840209484100342,3.687788248062134,4.509659767150879,2.949976921081543,2.7656075954437256,3.2644593715667725,3.323812246322632,2.464144229888916,2.9671616554260254,2.846895217895508,2.9179317951202393,2.693377733230591,2.315394639968872,0.08128588646650314,0.06032011657953262,-0.08312610536813736,0.019860774278640747,0.017307529225945473,-0.07610855996608734,-0.013507473282516003,0.009753579273819923,0.014299044385552406,0.0018703085370361805,0.08000055700540543,0.07041071355342865,0.027468780055642128,1.0867289304733276,0.3671723008155823,0.6648703813552856,0.39553529024124146,0.3977656066417694,0.5265993475914001,0.49965527653694153,0.37658658623695374,0.44706347584724426,0.39473268389701843,0.4554874002933502,0.4926219582557678,0.39688441157341003,-0.22065754234790802,0.07778995484113693,0.04300588741898537,0.011002212762832642,0.036045920103788376,0.03223446011543274,0.0014973289798945189,-0.025767354294657707,0.008311929181218147,0.03148043528199196,0.05499860271811485,0.05820390209555626,0.025140883401036263,0.7107347249984741,0.48950403928756714,0.5279780030250549,0.4441942274570465,0.407064825296402,0.4208739697933197,0.4987460672855377,0.37031665444374084,0.3868148624897003,0.3898653984069824,0.3794201612472534,0.34647247195243835,0.32896357774734497
