file_name,label,rms_mean,rms_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flux_mean,spectral_rolloff_mean,zcr_mean,pitch_mean,hnr_mean,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_mfcc_mean_0,delta_mfcc_mean_1,delta_mfcc_mean_2,delta_mfcc_mean_3,delta_mfcc_mean_4,delta_mfcc_mean_5,delta_mfcc_mean_6,delta_mfcc_mean_7,delta_mfcc_mean_8,delta_mfcc_mean_9,delta_mfcc_mean_10,delta_mfcc_mean_11,delta_mfcc_mean_12,delta2_mfcc_mean_0,delta2_mfcc_mean_1,delta2_mfcc_mean_2,delta2_mfcc_mean_3,delta2_mfcc_mean_4,delta2_mfcc_mean_5,delta2_mfcc_mean_6,delta2_mfcc_mean_7,delta2_mfcc_mean_8,delta2_mfcc_mean_9,delta2_mfcc_mean_10,delta2_mfcc_mean_11,delta2_mfcc_mean_12
engine chriping -squealing belt_segment_0.wav,Belt and Accessory Issues,0.3793243,0.019804914,3597.538203513023,2463.536276741265,0.80100197,6652.788765822785,0.3763103243670886,1859.7408,-4.362461,117.52198791503906,18.240495681762695,14.588593482971191,11.529304504394531,10.143646240234375,7.970760345458984,6.409100532531738,5.913162708282471,4.3628249168396,2.614450693130493,2.9556515216827393,2.649465322494507,1.853190302848816,6.356425762176514,4.636062145233154,4.122442245483398,2.569164991378784,3.158924102783203,2.477346181869507,3.1951098442077637,2.99875545501709,3.223087787628174,2.7935025691986084,3.0936293601989746,2.9644718170166016,2.5526833534240723,-0.058860719203948975,-0.024303041398525238,0.01461061928421259,0.02990688569843769,-0.03294574096798897,0.03202294930815697,0.08927151560783386,-0.009171814657747746,0.017728794366121292,0.06510670483112335,0.05154477059841156,0.07883404195308685,0.06982504576444626,-0.2757539749145508,0.11370212584733963,0.08653301000595093,-0.005267668515443802,0.011076082475483418,0.01177975069731474,-0.00021296588238328695,0.02260659635066986,0.08079856634140015,0.049757491797208786,-0.06311729550361633,-0.09833291172981262,8.072525088209659e-05
engine chriping -squealing belt_segment_1.wav,Belt and Accessory Issues,0.37632027,0.01878166,3624.5338600239174,2456.5746585043044,0.81750363,6666.534810126583,0.38322043117088606,1822.1459,0.7506202,116.69538879394531,17.600038528442383,15.24450969696045,12.61081600189209,9.950879096984863,7.1778788566589355,6.057714462280273,5.036219120025635,4.634303569793701,3.5222349166870117,2.946937322616577,2.480088233947754,1.821460247039795,6.6233978271484375,4.0238518714904785,5.016519069671631,2.966520309448242,3.267230272293091,3.4910480976104736,3.2675368785858154,3.502138376235962,3.038116455078125,2.5119404792785645,2.304497480392456,2.8927276134490967,2.4448554515838623,0.05065419524908066,0.10742905735969543,0.13000214099884033,0.1115935817360878,-0.0019605269189924,-0.007671439088881016,-0.038029495626688004,-0.07515538483858109,-0.03706559166312218,0.0662519782781601,0.03989933058619499,0.031450603157281876,0.06181185692548752,-0.23046687245368958,0.018649360164999962,-0.03143579885363579,-0.0047366805374622345,0.025239383801817894,0.03618258610367775,0.024951733648777008,-0.011116634123027325,-0.047877922654151917,-0.005521188955754042,-0.024244293570518494,-0.030763568356633186,0.001846795086748898
engine chriping -squealing belt_segment_2.wav,Belt and Accessory Issues,0.37628415,0.019090867,3608.770520997613,2462.7640786042216,0.80803514,6657.43670886076,0.3787949960443038,1875.0087,0.6724994,116.0792007446289,18.07965087890625,15.470148086547852,12.563953399658203,9.630029678344727,6.804934024810791,6.543083190917969,4.969239234924316,3.8553645610809326,2.8579113483428955,2.0555779933929443,2.9101204872131348,2.1125237941741943,6.114806175231934,3.6527774333953857,3.130948543548584,2.362699031829834,3.2792627811431885,2.897897243499756,2.713892936706543,3.0027716159820557,2.9391770362854004,2.97029447555542,2.7473011016845703,3.0850253105163574,2.7524752616882324,-0.11191122978925705,-0.07668649405241013,-0.0253283828496933,0.00862314272671938,0.10303238779306412,0.05183987691998482,0.03217654302716255,-0.040153324604034424,-0.03439456596970558,-0.001337680616416037,0.07477588206529617,-0.01738857850432396,-0.04821903631091118,-0.2492707222700119,-0.002914497395977378,-0.0103175463154912,0.0032643075101077557,-0.028391418978571892,-0.03568996861577034,-0.04670695587992668,-0.033225782215595245,0.04872998222708702,0.015918027609586716,-0.022091295570135117,-0.03858250752091408,0.022090887650847435
engine chriping -squealing belt_segment_3.wav,Belt and Accessory Issues,0.37810078,0.018498482,3621.161873899735,2463.1037343772005,0.8257462,6665.842563291139,0.38057505933544306,1845.9949,-0.14586581,116.62309265136719,17.60764503479004,15.325167655944824,12.093032836914062,9.940836906433105,6.550499439239502,5.931180477142334,6.415434837341309,5.49352502822876,3.3815698623657227,3.00594162940979,2.9678735733032227,2.2056479454040527,6.905778884887695,4.460477352142334,3.9137721061706543,3.172800064086914,3.0097427368164062,3.392522096633911,4.076458930969238,3.390981674194336,2.742583990097046,3.1740260124206543,3.076491594314575,2.559413194656372,2.1082346439361572,0.01980327069759369,-0.06892412900924683,0.0013068522093817592,0.023786870762705803,-0.012371271848678589,-0.015820086002349854,-0.1368855983018875,-0.04315769299864769,0.05763622000813484,-0.09627687186002731,-0.16286024451255798,-0.025247490033507347,0.030009616166353226,-0.1628120243549347,0.07010229676961899,0.0096239959821105,-0.022646484896540642,0.012726664543151855,-0.013555636629462242,-0.03694545477628708,-0.02334601804614067,-0.054157424718141556,-0.03024974651634693,-0.00047405611258000135,-0.00037666523712687194,-0.003284107195213437
lifter ticking_segment_0.wav,Belt and Accessory Issues,0.376055,0.018469524,3783.363063854708,2320.0422286416274,0.82505065,6634.592563291139,0.45283450356012656,2072.7751,0.34043506,128.0842742919922,5.690825939178467,-0.11215447634458542,2.2090070247650146,-1.4063957929611206,0.8529619574546814,0.6882558465003967,-1.6133451461791992,1.5296454429626465,2.902949333190918,0.015005129389464855,1.0896085500717163,-1.1464154720306396,5.628740310668945,4.922152996063232,3.821958303451538,3.021292209625244,2.9112846851348877,3.1097826957702637,3.4216067790985107,2.7968971729278564,2.965128183364868,2.2115120887756348,2.474336862564087,2.5935680866241455,3.018225908279419,0.03834036365151405,-0.07426034659147263,-0.06360659003257751,-0.02414640411734581,-0.014973679557442665,-0.025820080190896988,-0.09819618612527847,-0.10833969712257385,-0.027106646448373795,0.06183309108018875,0.03806140646338463,-0.025816036388278008,0.032272983342409134,-0.24019627273082733,0.011788837611675262,0.014319540932774544,-0.022311130538582802,-0.014665698632597923,-0.020500902086496353,0.07012281566858292,0.05768110603094101,-0.005409496370702982,-0.02492145635187626,-0.005849515553563833,0.04426746442914009,0.036986611783504486
lifter ticking_segment_1.wav,Belt and Accessory Issues,0.37881035,0.019594345,3777.9812604112776,2309.304507738165,0.82996815,6619.264240506329,0.45178995253164556,2074.817,1.293884,128.72189331054688,5.06205940246582,-0.5876860618591309,2.827585458755493,-1.66514253616333,0.7319530248641968,1.3554822206497192,-0.3207149803638458,2.814897298812866,2.8769593238830566,-0.3031189739704132,2.3037705421447754,0.09226059913635254,5.723516464233398,2.9454152584075928,2.864556312561035,2.3754220008850098,2.941349983215332,2.5127906799316406,3.7812340259552,3.278486728668213,2.6193466186523438,3.288039207458496,2.2042288780212402,2.6559581756591797,3.40248966217041,0.06897091120481491,0.08644624054431915,0.002809850499033928,-0.030754927545785904,-0.06431608647108078,0.05086112767457962,0.11234182119369507,0.059323497116565704,-0.015943681821227074,-0.08006062358617783,-0.03252755478024483,-0.00820453092455864,-0.07286349684000015,-0.25146031379699707,-0.020454231649637222,-0.0029791411943733692,0.014228739775717258,-0.007973359897732735,-0.016780875623226166,0.020425768569111824,0.013778258115053177,0.0021122407633811235,0.04124215617775917,0.022205503657460213,-0.016089733690023422,-0.03445206582546234
lifter ticking_segment_2.wav,Belt and Accessory Issues,0.3776643,0.017744083,3812.832712994481,2297.399689217688,0.8134423,6624.40664556962,0.45611649525316456,2078.1692,4.787643,127.15550994873047,3.201047420501709,0.04258193075656891,3.1315228939056396,-2.7682743072509766,1.5176544189453125,1.8086472749710083,-1.5708824396133423,1.9147865772247314,3.3607895374298096,0.7843916416168213,2.213245153427124,-0.9126174449920654,5.591804504394531,4.068506240844727,2.4793124198913574,2.7838709354400635,2.810004711151123,2.9557600021362305,2.963290214538574,3.1362154483795166,3.0615062713623047,2.698124647140503,3.494810104370117,2.7142751216888428,2.9649038314819336,-0.055583406239748,-0.10317277163267136,-0.006061899475753307,0.07075028866529465,0.04791858792304993,-0.015429910272359848,-0.029290208593010902,-0.0012310969177633524,-0.06086353212594986,0.006918416824191809,0.04153835400938988,0.059684645384550095,0.035761378705501556,-0.22779418528079987,-0.008272599428892136,-0.0580921545624733,-0.008944423869252205,0.04768120497465134,0.0313945896923542,0.07504408061504364,0.05205024033784866,0.01155804842710495,-0.0461219884455204,-0.03047463856637478,-0.019596828147768974,-0.04817642271518707
lifter ticking_segment_3.wav,Belt and Accessory Issues,0.3775312,0.01914998,3766.3479531044327,2325.20576898868,0.84929985,6626.5822784810125,0.44687005537974683,2074.5183,0.5135205,128.39404296875,6.936178207397461,0.9453173279762268,2.4637253284454346,-0.1355224996805191,3.200660228729248,1.4758756160736084,-1.8446184396743774,0.815771758556366,2.6895716190338135,-0.5221455097198486,-1.128476619720459,-1.5730210542678833,6.3128204345703125,5.664705753326416,4.657405853271484,3.0408518314361572,3.217172861099243,3.2415449619293213,3.683720588684082,3.2815871238708496,2.453838348388672,2.7211833000183105,2.831498384475708,2.5315120220184326,3.5683374404907227,0.12857912480831146,0.0667952448129654,-0.002461817115545273,-0.04153880104422569,-0.0023337029851973057,0.04910554736852646,-0.057838235050439835,-0.12543916702270508,0.021452749148011208,0.03150644525885582,-0.06248773634433746,-0.09311595559120178,-0.05196208506822586,-0.2469080239534378,0.09254737198352814,0.0887320265173912,0.009198911488056183,-0.029184482991695404,-0.025930015370249748,-0.022717097774147987,-0.02499493397772312,0.03032112680375576,0.0051320018246769905,0.024521904066205025,-0.02157815732061863,-0.05558627098798752
squeaky belt_segment_0.wav,Belt and Accessory Issues,0.37652242,0.018031662,4011.310452574438,2300.1918521970038,0.88363445,6710.047468354431,0.49378214003164556,2074.9434,0.55461365,121.65721130371094,-3.73270845413208,-3.031663656234741,-5.814850330352783,0.22561568021774292,-1.7813371419906616,-1.7602119445800781,1.9232121706008911,-1.243395447731018,2.6154017448425293,-1.6705845594406128,1.2230132818222046,-0.79389488697052,6.582745552062988,3.8681282997131348,4.279903888702393,3.5666632652282715,2.9665415287017822,3.3194127082824707,3.9868838787078857,3.0044002532958984,3.2083206176757812,3.4002878665924072,3.2633159160614014,2.9796526432037354,2.959907054901123,0.03364234045147896,0.00670338049530983,0.12087105214595795,-0.17288686335086823,-0.11861296743154526,0.09597483277320862,-0.010246803984045982,0.01605633646249771,0.03474803641438484,0.10324984043836594,-0.03896607458591461,0.013898215256631374,0.003204320091754198,-0.2777074873447418,-0.06521842628717422,-0.04027809947729111,-0.08040525019168854,0.02266238071024418,-0.0010702606523409486,-0.030881064012646675,-0.022180931642651558,0.0015992311527952552,-0.019832830876111984,-0.03510887548327446,0.005922725889831781,-0.016247369349002838
squeaky belt_segment_1.wav,Belt and Accessory Issues,0.37758148,0.019337041,3888.305861143533,2302.4218370091976,0.8598553,6668.018196202532,0.47175385680379744,2075.1792,0.4960298,125.28787231445312,0.03820285201072693,-5.393696308135986,-5.224009990692139,-0.1781623512506485,-1.3699439764022827,-3.523218870162964,2.3669896125793457,-0.7727373242378235,1.043738603591919,-0.9044364094734192,1.2350645065307617,0.08396798372268677,6.840209484100342,3.687788248062134,4.509659767150879,2.949976921081543,2.7656075954437256,3.2644593715667725,3.323812246322632,2.464144229888916,2.9671616554260254,2.846895217895508,2.9179317951202393,2.693377733230591,2.315394639968872,0.08128588646650314,0.06032011657953262,-0.08312610536813736,0.019860774278640747,0.017307529225945473,-0.07610855996608734,-0.013507473282516003,0.009753579273819923,0.014299044385552406,0.0018703085370361805,0.08000055700540543,0.07041071355342865,0.027468780055642128,-0.22065754234790802,0.07778995484113693,0.04300588741898537,0.011002212762832642,0.036045920103788376,0.03223446011543274,0.0014973289798945189,-0.025767354294657707,0.008311929181218147,0.03148043528199196,0.05499860271811485,0.05820390209555626,0.025140883401036263
