file_name,label,mel_spectrogram_mean,mel_spectrogram_std,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chromagram_mean_0,chromagram_mean_1,chromagram_mean_2,chromagram_mean_3,chromagram_mean_4,chromagram_mean_5,chromagram_mean_6,chromagram_mean_7,chromagram_mean_8,chromagram_mean_9,chromagram_mean_10,chromagram_mean_11,chromagram_std_0,chromagram_std_1,chromagram_std_2,chromagram_std_3,chromagram_std_4,chromagram_std_5,chromagram_std_6,chromagram_std_7,chromagram_std_8,chromagram_std_9,chromagram_std_10,chromagram_std_11
engine chriping -squealing belt_segment_0.wav,Belt and Accessory Issues,-20.978594,3.7439995,117.52198791503906,18.240497589111328,14.588593482971191,11.529304504394531,10.143646240234375,7.970759391784668,6.409100532531738,5.9131622314453125,4.362824440002441,2.614450693130493,2.9556515216827393,2.649465322494507,1.853190302848816,6.356426239013672,4.6360626220703125,4.122442245483398,2.569164991378784,3.158924102783203,2.477346181869507,3.1951098442077637,2.99875545501709,3.223087787628174,2.7935025691986084,3.0936293601989746,2.9644720554351807,2.5526833534240723,0.6956522464752197,0.6399735808372498,0.6750598549842834,0.7498130202293396,0.7592798471450806,0.8001392483711243,0.8056004047393799,0.7680487036705017,0.7486215233802795,0.7325161695480347,0.7324167490005493,0.7903391122817993,0.14176417887210846,0.13548220694065094,0.15708395838737488,0.1699579954147339,0.16325651109218597,0.1795518696308136,0.16127237677574158,0.17667944729328156,0.17775289714336395,0.14449112117290497,0.15661877393722534,0.144509419798851
engine chriping -squealing belt_segment_1.wav,Belt and Accessory Issues,-20.13486,3.7248664,116.69538879394531,17.600040435791016,15.24450969696045,12.61081600189209,9.950879096984863,7.1778788566589355,6.057714462280273,5.036219120025635,4.634303569793701,3.5222349166870117,2.946937322616577,2.480088233947754,1.8214600086212158,6.623397350311279,4.0238518714904785,5.016519069671631,2.966520309448242,3.267230272293091,3.4910483360290527,3.2675368785858154,3.502138376235962,3.038116455078125,2.5119404792785645,2.304497480392456,2.8927273750305176,2.4448554515838623,0.6012195944786072,0.6238412261009216,0.6895828247070312,0.9003742933273315,0.8720401525497437,0.7399962544441223,0.6636340022087097,0.675040066242218,0.6820515394210815,0.6850271821022034,0.6991296410560608,0.7122496962547302,0.12525300681591034,0.1405279040336609,0.13445839285850525,0.18802858889102936,0.16969813406467438,0.13465997576713562,0.1294974386692047,0.13368605077266693,0.14936722815036774,0.16166594624519348,0.12755264341831207,0.1560979038476944
engine chriping -squealing belt_segment_2.wav,Belt and Accessory Issues,-21.31129,3.745864,116.0792007446289,18.07965087890625,15.470149993896484,12.56395435333252,9.630029678344727,6.804934024810791,6.543083190917969,4.969239234924316,3.8553645610809326,2.8579113483428955,2.0555779933929443,2.9101202487945557,2.1125240325927734,6.114806175231934,3.652777671813965,3.130948543548584,2.362699031829834,3.2792627811431885,2.897897243499756,2.713892698287964,3.0027716159820557,2.9391772747039795,2.97029447555542,2.7473011016845703,3.0850253105163574,2.7524755001068115,0.6427709460258484,0.5938785672187805,0.6490365266799927,0.7855067253112793,0.8381747603416443,0.8522710800170898,0.8096215724945068,0.7605434656143188,0.7515640258789062,0.7669470310211182,0.7549877166748047,0.7481603026390076,0.13267263770103455,0.131620854139328,0.10567575693130493,0.1346527636051178,0.1481764316558838,0.13768798112869263,0.12043964862823486,0.13533955812454224,0.1358727365732193,0.13089865446090698,0.12816837430000305,0.1388925015926361
engine chriping -squealing belt_segment_3.wav,Belt and Accessory Issues,-20.972757,3.7708178,116.62309265136719,17.60764503479004,15.325167655944824,12.093032836914062,9.940837860107422,6.550499439239502,5.931180000305176,6.415434837341309,5.49352502822876,3.3815698623657227,3.00594162940979,2.9678735733032227,2.2056479454040527,6.905778884887695,4.460477352142334,3.9137721061706543,3.172799825668335,3.009742498397827,3.392521858215332,4.076458930969238,3.390981674194336,2.742583990097046,3.1740260124206543,3.076491594314575,2.559413194656372,2.1082346439361572,0.5668100118637085,0.6369389295578003,0.7652051448822021,0.8781189918518066,0.7618409991264343,0.6957541108131409,0.6535971164703369,0.6978397965431213,0.6989195346832275,0.6984155774116516,0.7424838542938232,0.6942461729049683,0.10936800390481949,0.1528531312942505,0.17371268570423126,0.20613625645637512,0.16495077311992645,0.16231778264045715,0.14649035036563873,0.153303325176239,0.16352547705173492,0.16020070016384125,0.1293872445821762,0.14851036667823792
lifter ticking_segment_0.wav,Belt and Accessory Issues,-11.169891,2.5687497,128.0842742919922,5.690825939178467,-0.11215439438819885,2.2090070247650146,-1.4063957929611206,0.8529619574546814,0.6882557272911072,-1.6133451461791992,1.529645562171936,2.902949333190918,0.015005143359303474,1.0896085500717163,-1.1464154720306396,5.6287407875061035,4.922152996063232,3.821958303451538,3.021292209625244,2.9112844467163086,3.1097829341888428,3.4216067790985107,2.7968969345092773,2.965128183364868,2.2115118503570557,2.474336862564087,2.5935680866241455,3.01822566986084,0.6587485074996948,0.6630958914756775,0.7540774941444397,0.8505149483680725,0.8335632085800171,0.884617269039154,0.8476159572601318,0.844571053981781,0.8393481373786926,0.8793392181396484,0.8330719470977783,0.7500245571136475,0.10611537843942642,0.09610405564308167,0.11214984208345413,0.1231340765953064,0.1027546226978302,0.09523818641901016,0.10782433301210403,0.09572825580835342,0.09648223966360092,0.09956042468547821,0.09555473178625107,0.09514142572879791
lifter ticking_segment_1.wav,Belt and Accessory Issues,-11.517922,2.5744183,128.72189331054688,5.06205940246582,-0.5876860618591309,2.827585220336914,-1.66514253616333,0.7319531440734863,1.3554822206497192,-0.3207149803638458,2.8148977756500244,2.8769593238830566,-0.3031189441680908,2.3037707805633545,0.09226062893867493,5.723516464233398,2.9454152584075928,2.864556312561035,2.3754220008850098,2.941349983215332,2.5127906799316406,3.7812340259552,3.278486728668213,2.619347095489502,3.288039207458496,2.204228639602661,2.6559581756591797,3.4024899005889893,0.6752339601516724,0.6244374513626099,0.6967802047729492,0.7361298203468323,0.7653228044509888,0.7911993861198425,0.806524395942688,0.8664565086364746,0.8705324530601501,0.8633083701133728,0.8697463274002075,0.8087055087089539,0.11925199627876282,0.10442136228084564,0.11472520977258682,0.1300535500049591,0.12148420512676239,0.10641171783208847,0.10334504395723343,0.10644067078828812,0.08350501954555511,0.10747606307268143,0.11379317939281464,0.11109331250190735
lifter ticking_segment_2.wav,Belt and Accessory Issues,-10.076738,2.5251958,127.15550994873047,3.201047420501709,0.042581863701343536,3.1315231323242188,-2.7682743072509766,1.517654538154602,1.8086473941802979,-1.5708825588226318,1.914786458015442,3.3607892990112305,0.7843915224075317,2.213245391845703,-0.9126174449920654,5.591804504394531,4.068506240844727,2.4793124198913574,2.7838711738586426,2.810004949569702,2.9557600021362305,2.963289976119995,3.1362154483795166,3.0615062713623047,2.698124647140503,3.494810104370117,2.7142751216888428,2.9649038314819336,0.6591046452522278,0.6448615193367004,0.6981656551361084,0.7810232639312744,0.7643464207649231,0.8667792081832886,0.8043370842933655,0.9166094660758972,0.8365744948387146,0.8064983487129211,0.8144643306732178,0.7483937740325928,0.11590846627950668,0.10003500431776047,0.14550913870334625,0.13032881915569305,0.11503847688436508,0.11702455580234528,0.10877598077058792,0.0884818360209465,0.09176216274499893,0.11040976643562317,0.10960295051336288,0.09649698436260223
lifter ticking_segment_3.wav,Belt and Accessory Issues,-13.472585,2.6529658,128.39404296875,6.936178207397461,0.9453173279762268,2.4637253284454346,-0.1355225145816803,3.200659990310669,1.4758756160736084,-1.8446184396743774,0.8157718777656555,2.6895716190338135,-0.5221454501152039,-1.128476619720459,-1.5730210542678833,6.3128204345703125,5.664705753326416,4.657405853271484,3.0408518314361572,3.217172861099243,3.2415449619293213,3.683720111846924,3.2815868854522705,2.453838348388672,2.7211833000183105,2.831498622894287,2.5315120220184326,3.5683376789093018,0.6878912448883057,0.7031992077827454,0.7056771516799927,0.7181808948516846,0.7936493158340454,0.903274655342102,0.8601568937301636,0.888616144657135,0.8279486298561096,0.7916209697723389,0.774774432182312,0.7380414009094238,0.12948556244373322,0.10955757647752762,0.10604896396398544,0.10503815114498138,0.1308695375919342,0.12788209319114685,0.09536329656839371,0.09742093086242676,0.09902630001306534,0.12158548086881638,0.12758897244930267,0.11695016175508499
squeaky belt_segment_0.wav,Belt and Accessory Issues,-9.6320715,2.554172,121.65721130371094,-3.73270845413208,-3.031663656234741,-5.814850330352783,0.2256157100200653,-1.7813372611999512,-1.7602119445800781,1.9232121706008911,-1.2433955669403076,2.6154017448425293,-1.6705845594406128,1.2230132818222046,-0.7938950061798096,6.582745552062988,3.8681282997131348,4.279903888702393,3.5666632652282715,2.9665415287017822,3.3194124698638916,3.9868838787078857,3.0044002532958984,3.2083206176757812,3.400287628173828,3.2633159160614014,2.9796526432037354,2.959907054901123,0.6276159882545471,0.6486817598342896,0.6733778119087219,0.7441045641899109,0.7705802321434021,0.8180258274078369,0.8782479763031006,0.831247091293335,0.7899838089942932,0.7771174907684326,0.7648228406906128,0.6519802212715149,0.14180830121040344,0.1292167752981186,0.13291481137275696,0.16136476397514343,0.15100131928920746,0.12306205928325653,0.12955699861049652,0.1235242560505867,0.14573590457439423,0.1415616124868393,0.12111364305019379,0.11719712615013123
squeaky belt_segment_1.wav,Belt and Accessory Issues,-10.571763,2.5595202,125.28787231445312,0.038202859461307526,-5.393697261810303,-5.224009990692139,-0.1781623512506485,-1.3699439764022827,-3.523218870162964,2.3669896125793457,-0.7727373242378235,1.043738603591919,-0.9044364094734192,1.2350645065307617,0.08396797627210617,6.840209007263184,3.687788248062134,4.509659767150879,2.949976682662964,2.7656075954437256,3.2644593715667725,3.3238120079040527,2.464144229888916,2.9671616554260254,2.846895217895508,2.9179320335388184,2.693377733230591,2.315394639968872,0.6855729818344116,0.5900072455406189,0.6273672580718994,0.7232382297515869,0.7783188819885254,0.74653160572052,0.7493740320205688,0.7228317856788635,0.7313423156738281,0.7750191688537598,0.8424466252326965,0.9246736168861389,0.10557837784290314,0.12369810789823532,0.11245317757129669,0.1455092579126358,0.14277277886867523,0.12627829611301422,0.14406897127628326,0.11731618642807007,0.11670272052288055,0.12750202417373657,0.09937181323766708,0.11030057072639465
